ident,type,name,iso_country,iso_region,municipality,iata_code,state_code
00A,heliport,Total Rf Heliport,US,US-PA,Bensalem,,PA
00AA,small_airport,Aero B Ranch Airport,US,US-KS,Leoti,,KS
00AK,small_airport,Lowell Field,US,US-AK,Anchor Point,,AK
00AL,small_airport,Epps Airpark,US,US-AL,Harvest,,AL
00AR,closed,Newport Hospital & Clinic Heliport,US,US-AR,Newport,,AR
00AS,small_airport,Fulton Airport,US,US-OK,Alex,,OK
00AZ,small_airport,Cordes Airport,US,US-AZ,Cordes,,AZ
00CA,small_airport,Goldstone /Gts/ Airport,US,US-CA,Barstow,,CA
00CL,small_airport,Williams Ag Airport,US,US-CA,Biggs,,CA
00CN,heliport,Kitchen Creek Helibase Heliport,US,US-CA,Pine Valley,,CA
00CO,closed,Cass Field,US,US-CO,Briggsdale,,CO
00FA,small_airport,Grass Patch Airport,US,US-FL,Bushnell,,FL
00FD,heliport,Ringhaver Heliport,US,US-FL,Riverview,,FL
00FL,small_airport,River Oak Airport,US,US-FL,Okeechobee,,FL
00GA,small_airport,Lt World Airport,US,US-GA,Lithonia,,GA
00GE,heliport,Caffrey Heliport,US,US-GA,Hiram,,GA
00HI,heliport,Kaupulehu Heliport,US,US-HI,Kailua/Kona,,HI
00ID,small_airport,Delta Shores Airport,US,US-ID,Clark Fork,,ID
00IG,small_airport,Goltl Airport,US,US-KS,McDonald,,KS
00II,heliport,Bailey Generation Station Heliport,US,US-IN,Chesterton,,IN
00IL,small_airport,Hammer Airport,US,US-IL,Polo,,IL
00IN,heliport,St Mary Medical Center Heliport,US,US-IN,Hobart,,IN
00IS,small_airport,Hayenga's Cant Find Farms Airport,US,US-IL,Kings,,IL
00KS,small_airport,Hayden Farm Airport,US,US-KS,Gardner,,KS
00KY,small_airport,Robbins Roost Airport,US,US-KY,Stanford,,KY
00LA,heliport,Shell Chemical East Site Heliport,US,US-LA,Gonzales,,LA
00LL,heliport,Ac & R Components Heliport,US,US-IL,Chatham,,IL
00LS,small_airport,Lejeune Airport,US,US-LA,Esterwood,,LA
00MD,small_airport,Slater Field,US,US-MD,Federalsburg,,MD
00MI,heliport,Dow Chemical Heliport,US,US-MI,Ludington,,MI
00MN,small_airport,Battle Lake Municipal Airport,US,US-MN,Battle Lake,,MN
00MO,small_airport,Cooper Flying Service Airport,US,US-MO,Alba,,MO
00MT,closed,Sands Ranch Airport,US,US-MT,Havre,,MT
00N,small_airport,Bucks Airport,US,US-NJ,Bridgeton,,NJ
00NC,small_airport,North Raleigh Airport,US,US-NC,Louisburg,,NC
00NJ,heliport,Colgate-Piscataway Heliport,US,US-NJ,New Brunswick,,NJ
00NK,seaplane_base,Cliche Cove Seaplane Base,US,US-NY,Beekmantown,,NY
00NY,small_airport,Weiss Airfield,US,US-NY,West Bloomfield,,NY
00OH,small_airport,Exit 3 Airport,US,US-OH,Wauseon,,OH
00OI,heliport,Miami Valley Hospital Heliport,US,US-OH,Dayton,,OH
00OK,small_airport,Gull Bay Landing Airport,US,US-OK,Sandsprings,,OK
00OR,heliport,Steel Systems Heliport,US,US-OR,Salem,,OR
00PA,heliport,R J D Heliport,US,US-PA,Coatesville,,PA
00PN,small_airport,Ferrell Field,US,US-PA,Mercer,,PA
00PS,closed,Thomas Field,US,US-PA,Loysville,,PA
00S,small_airport,Mc Kenzie Bridge State Airport,US,US-OR,Mc Kenzie Bridge,,OR
00SC,small_airport,Flying O Airport,US,US-SC,Sumter,,SC
00SD,small_airport,Homan Field,US,US-SD,Gary,,SD
00TA,heliport,Sw Region Faa Heliport,US,US-TX,Fort Worth,,TX
00TE,heliport,Tcjc-Northeast Campus Heliport,US,US-TX,Fort Worth,,TX
00TN,small_airport,Ragsdale Road Airport,US,US-TN,Manchester,,TN
00TS,small_airport,Alpine Range Airport,US,US-TX,Everman,,TX
00TX,closed,San Jacinto Methodist Hospital Heliport,US,US-TX,Baytown,,TX
00UT,closed,Clear Creek Ranch Airport,US,US-UT,Kanab,,UT
00VA,small_airport,Vaughan Airport,US,US-VA,Alton,,VA
00VI,small_airport,Groundhog Mountain Airport,US,US-VA,Hillsville,,VA
00W,small_airport,Lower Granite State Airport,US,US-WA,Colfax,,WA
00WA,small_airport,Howell Airport,US,US-WA,Longbranch,,WA
00WI,small_airport,Northern Lite Airport,US,US-WI,Waupaca,,WI
00WN,small_airport,Hawks Run Airport,US,US-WA,Asotin,,WA
00WV,small_airport,Lazy J. Aerodrome,US,US-WV,Beverly,,WV
00WY,heliport,Mountain View Regional Hospital Heliport,US,US-WY,Casper,,WY
00XS,small_airport,L P Askew Farms Airport,US,US-TX,O'Donnell,,TX
01A,small_airport,Purkeypile Airport,US,US-AK,Purkeypile,,AK
01AK,heliport,Providence Seward Medical Center Heliport,US,US-AK,Seward,,AK
01AL,small_airport,Ware Island Airport,US,US-AL,Clanton,,AL
01AR,heliport,Community Hospital of De Queen Heliport,US,US-AR,De Queen,,AR
01AZ,heliport,Yat Heliport,US,US-AZ,Camp Verde,,AZ
01C,closed,Grant Airport,US,US-MI,Grant,,MI
01CA,heliport,Lugo Substation Heliport,US,US-CA,Hesperia,,CA
01CL,small_airport,Swansboro Country Airport,US,US-CA,Placerville,,CA
01CN,heliport,Los Angeles County Sheriff's Department Heliport,US,US-CA,Los Angeles,,CA
01CO,heliport,St Vincent General Hospital Heliport,US,US-CO,Leadville,,CO
01CT,heliport,Berlin Fairgrounds Heliport,US,US-CT,Berlin,,CT
01FA,small_airport,Rybolt Ranch Airport,US,US-FL,Orlando,,FL
01FD,heliport,Advent Health Altamonte Springs Heliport,US,US-FL,Altamonte Springs,,FL
01FL,small_airport,Cedar Knoll Flying Ranch Airport,US,US-FL,Geneva,,FL
01GA,heliport,Medical Center Heliport,US,US-GA,Columbus,,GA
01GE,small_airport,The Farm Airport,US,US-GA,Wrightsville,,GA
01IA,small_airport,Stender Airport,US,US-IA,Maysville,,IA
01ID,small_airport,Lava Hot Springs Airport,US,US-ID,Lava Hot Springs,,ID
01II,small_airport,Myers Field,US,US-IN,Lizton,,IN
01IL,heliport,Hoopeston Community Memorial Hospital Heliport,US,US-IL,Hoopeston,,IL
01IN,heliport,Community Hospital Heliport,US,US-IN,Anderson,,IN
01IS,small_airport,William E. Koenig Airport,US,US-IL,Dow,,IL
01J,small_airport,Hilliard Airpark,US,US-FL,Hilliard,,FL
01K,small_airport,Caldwell Municipal Airport,US,US-KS,Caldwell,,KS
01KS,small_airport,Flying N Ranch Airport,US,US-KS,Lost Springs,,KS
01KY,heliport,Lourdes Hospital Heliport,US,US-KY,Paducah,,KY
01LA,small_airport,Barham Airport,US,US-LA,Oak Ridge,,LA
01LL,small_airport,Schumaier Restricted Landing Area,US,US-IL,Pinckneyville,,IL
01LS,small_airport,Country Breeze Airport,US,US-LA,Slaughter,,LA
01MA,heliport,Compaq Andover Heliport,US,US-MA,Andover,,MA
01MD,seaplane_base,Annapolis Seaplane Base,US,US-MD,Annapolis,,MD
01ME,seaplane_base,Saint Peter's Seaplane Base,US,US-ME,Portage Lake,,ME
01MI,heliport,Flow Through Terminal Heliport,US,US-MI,Flint,,MI
01MN,seaplane_base,Barnes Seaplane Base,US,US-MN,Cook,,MN
01MO,heliport,Highway Patrol Troop C Headquarters Heliport,US,US-MO,Town and Country,,MO
01MT,small_airport,Crystal Lakes Resort Airport,US,US-MT,Fortine,,MT
01NC,small_airport,Topsail Airpark,US,US-NC,Holly Ridge,,NC
01NE,small_airport,Detour Airport,US,US-NE,Wellfleet,,NE
01NH,small_airport,Moore Airfield,US,US-NH,Canaan,,NH
01NJ,heliport,Albert Guido Memorial Heliport,US,US-NJ,Newark,,NJ
01NM,small_airport,Champion Ranch Airport,US,US-NM,Artesia,,NM
01NV,small_airport,Lantana Ranch Airport,US,US-NV,Yerington,,NV
01NY,heliport,Vassar Hospital Heliport,US,US-NY,Poughkeepsie,,NY
01OI,heliport,Galion Community Hospital Heliport,US,US-OH,Galion,,OH
01OK,closed,Lawrence Airport,US,US-OK,Eakly,,OK
01OR,closed,Red & White Flying Service Airport,US,US-OR,Silver Lake,,OR
01PA,heliport,Pine Heliport,US,US-PA,Mars,,PA
01PN,small_airport,Bierly(Personal Use) Airport,US,US-PA,Bellefonte,,PA
01PS,small_airport,Nort's Resort Airport,US,US-PA,Meshoppen,,PA
01SC,small_airport,York Airport,US,US-SC,York,,SC
01TA,heliport,Thirty Thirty Matlock Office Center Heliport,US,US-TX,Arlington,,TX
01TE,small_airport,Smith Field,US,US-TX,Forney,,TX
01TN,small_airport,Colonial Air Park,US,US-TN,Collierville,,TN
01TS,closed,St Joseph Hospital Heliport,US,US-TX,Fort Worth,,TX
01TX,small_airport,Mims Farm Ultralightport,US,US-TX,Waxahachie,,TX
01U,small_airport,Duckwater Airport,US,US-NV,Duckwater,,NV
01UT,small_airport,La Sal Junction Airport,US,US-UT,La Sal,,UT
01VA,small_airport,Pickles Airport,US,US-VA,Berryville,,VA
01WA,heliport,Willapa Harbor Heliport,US,US-WA,South Bend,,WA
01WI,small_airport,Prehn Cranberry Company Airport,US,US-WI,Tomah,,WI
01WN,heliport,Whidbey General Hospital Heliport,US,US-WA,Coupeville,,WA
01WT,heliport,Odyssey Heliport,US,US-WA,Renton,,WA
01WY,small_airport,Keyhole Airport,US,US-WY,Moorcroft,,WY
01XA,heliport,Seton Medical Center Hays Heliport,US,US-TX,Kyle,,TX
01XS,heliport,Meadowood Ranch Heliport,US,US-TX,Athens,,TX
02AK,small_airport,Rustic Wilderness Airport,US,US-AK,Willow,,AK
02AL,small_airport,Bass Field,US,US-AL,Foley,,AL
02AR,closed,Three Rivers Airport,US,US-AR,Little Rock,,AR
02AZ,closed,Winchester Farm Airstrip,US,US-AZ,Willcox,,AZ
02CA,heliport,Swepi Beta Platform Ellen Heliport,US,US-CA,Huntington Beach,,CA
02CD,small_airport,Shannon Field,US,US-MS,Clarksdale,,MS
02CL,small_airport,Conover Air Lodge Airport,US,US-CA,Frazier Park,,CA
02CO,small_airport,Mc Cullough Airport,US,US-CO,Monte Vista,,CO
02CT,heliport,Strangers Point Heliport,US,US-CT,Ellington,,CT
02FA,small_airport,Osborn Airfield,US,US-FL,Groveland,,FL
02FL,small_airport,Cuchens Airport,US,US-FL,Defuniak Springs,,FL
02GA,small_airport,Doug Bolton Field,US,US-GA,Commerce,,GA
02GE,small_airport,Etowah Fields Airport,US,US-GA,Euharlee,,GA
02HI,heliport,K3 Helipad Heliport,US,US-HI,Pearl Harbor,,HI
02IA,heliport,Boone County Hospital Heliport,US,US-IA,Boone,,IA
02ID,small_airport,Morgan Ranch Airport,US,US-ID,Cascade,,ID
02II,small_airport,King Ultralightport,US,US-IN,Westfield,,IN
02IN,small_airport,Diamond P. Field,US,US-IN,Muncie,,IN
02IS,heliport,Condell Medical Center Heliport,US,US-IL,Libertyville,,IL
02KS,small_airport,Jmj Landing Airport,US,US-KS,St Marys,,KS
02KT,heliport,St Claire Healthcare Heliport,US,US-KY,Morehead,,KY
02KY,heliport,Boone National Guard Heliport,US,US-KY,Frankfort,,KY
02LA,heliport,La State Police Troop G Heliport,US,US-LA,Bossier City,,LA
02LS,heliport,Windy Hill Heliport,US,US-LA,Broussard,,LA
02MA,heliport,Cuttyhunk Heliport,US,US-MA,Gosnold,,MA
02MD,small_airport,Garner Field,US,US-MD,Brandywine,,MD
02ME,small_airport,Nadeau's Airport,US,US-ME,Acton,,ME
02MI,small_airport,Fairplains Airpark,US,US-MI,Greenville,,MI
02MN,small_airport,Greenbush Municipal Airport,US,US-MN,Greenbush,,MN
02MO,small_airport,Troy Airpark,US,US-MO,Troy,,MO
02MS,small_airport,Watts Field,US,US-MS,Rochdale,,MS
02MT,closed,Barrett Field,US,US-MT,Cascade,,MT
02MU,closed,Timber Line Airpark,US,US-MO,Cassville,,MO
02NC,heliport,Race City Heliport,US,US-NC,Landis,,NC
02NE,small_airport,Benes Service Airport,US,US-NE,Valparaiso,,NE
02NH,seaplane_base,Iroquois Landing Seaplane Base,US,US-NH,Dummer,,NH
02NJ,heliport,Penske Heliport,US,US-NJ,Piscataway,,NJ
02NV,small_airport,Paiute Meadows Airport,US,US-NV,Winnemucca,,NV
02NY,heliport,Hansen Heliport,US,US-NY,Durhamville,,NY
02OH,small_airport,Zimmerman Airport,US,US-OH,Fremont,,OH
02OI,small_airport,Murtha Airport,US,US-OH,Conneaut,,OH
02OK,heliport,Canon Heliport,US,US-OK,Oklahoma City,,OK
02OR,small_airport,Rowena Dell Airport,US,US-OR,The Dalles,,OR
02P,heliport,Stottle Memorial Heliport,US,US-PA,Honey Grove,,PA
02PA,heliport,Lag Iii Heliport,US,US-PA,Monroeville,,PA
02PN,heliport,Peco Berwyn Heliport,US,US-PA,Berwyn,,PA
02PS,small_airport,Hughes Ultralightport,US,US-PA,Tioga,,PA
02SC,small_airport,Harpers Airport,US,US-SC,Estill,,SC
02T,small_airport,Wise River Airport,US,US-MT,Wise River,,MT
02TA,heliport,Matagorda Shore Facility Heliport,US,US-TX,Matagorda,,TX
02TE,heliport,Baylor Medical Center Heliport,US,US-TX,Waxahachie,,TX
02TN,small_airport,Ellis Field,US,US-TN,Murfreesboro,,TN
02TS,closed,FWOMC Heliport,US,US-TX,Fort Worth,,TX
02TX,small_airport,The Palms At Kitty Hawk Airport,US,US-TX,New Home,,TX
02UT,small_airport,Lucin Airport,US,US-UT,Lucin,,UT
02VA,small_airport,The Greenhouse Airport,US,US-VA,Culpeper,,VA
02VG,heliport,Northstar Aviation Heliport,US,US-VA,Bristol,,VA
02WA,small_airport,Cawleys South Prairie Airport,US,US-WA,South Prairie,,WA
02WI,small_airport,Beer Airport,US,US-WI,Hudson,,WI
02WN,small_airport,Fowler Field,US,US-WA,Tonasket,,WA
02XA,small_airport,JLS Farms Airport,US,US-TX,Honey Grove,,TX
02XS,small_airport,Seidel Ranch Airport,US,US-TX,Elroy,,TX
03AA,heliport,Trapper T Heliport,US,US-AK,Palmer,,AK
03AK,seaplane_base,Joe Clouds Seaplane Base,US,US-AK,Kenai,,AK
03AL,heliport,Highland Medical Center Heliport,US,US-AL,Scottsboro,,AL
03AR,heliport,Hscmh Heliport,US,US-AR,Malvern,,AR
03AZ,small_airport,Thompson International Aviation Airport,US,US-AZ,Hereford,,AZ
03CA,heliport,Grossmont Hospital Heliport,US,US-CA,La Mesa,,CA
03CO,small_airport,Kugel-Strong Airport,US,US-CO,Platteville,,CO
03FA,small_airport,Lake Persimmon Airstrip,US,US-FL,Lake Placid,,FL
03FD,closed,Tharpe Airport,US,US-FL,Bonifay,,FL
03FL,heliport,Ranger Heliport,US,US-FL,West Palm Beach,,FL
03GA,small_airport,HIA Airport,US,US-IN,Statesboro,,IN
03I,closed,Clarks Dream Strip,US,US-OH,Circleville,,OH
03IA,small_airport,East Field,US,US-IA,Montezuma,,IA
03ID,small_airport,Flying Y Ranch Airport,US,US-ID,Council,,ID
03II,small_airport,Davis Field Ultralightport,US,US-IN,Mount Vernon,,IN
03IL,small_airport,Wix Airport,US,US-IL,Monee,,IL
03IN,small_airport,Heinzman Airport,US,US-IN,Arcadia,,IN
03IS,heliport,OSF St Anthony's Health Center Heliport,US,US-IL,Alton,,IL
03KS,heliport,Valley Grain Heliport,US,US-KS,Highland,,KS
03KY,small_airport,Flying H Farms Airport,US,US-KY,Henderson,,KY
03LA,heliport,Damien Heliport,US,US-LA,Carville,,LA
03LS,heliport,Fmc Nr 1 Heliport,US,US-LA,Winnsboro,,LA
03M,seaplane_base,Lakeside Marina Seaplane Base,US,US-ME,East Winthrop,,ME
03MA,small_airport,Hadley Airport,US,US-MA,Hadley,,MA
03MD,heliport,Upper Chesapeake Medical Center Heliport,US,US-MD,Bel Air,,MD
03ME,small_airport,Maple Ridge Airport,US,US-ME,Harrison,,ME
03MI,heliport,Harold Miller Heliport,US,US-MI,Bay City,,MI
03MN,small_airport,Nauerth Land Ranch Airport,US,US-MN,Lakefield,,MN
03MO,closed,Cahoochie Airport,US,US-MO,Urbana,,MO
03MS,heliport,Vicksburg Medical Center Heliport,US,US-MS,Vicksburg,,MS
03MT,small_airport,Cascade Field,US,US-MT,Cascade,,MT
03MU,small_airport,Mc Donnell Airport,US,US-MO,Archie,,MO
03NC,small_airport,Pilots Ridge Airport,US,US-NC,Carolina Beach,,NC
03ND,small_airport,Olafson Brothers Airport,US,US-ND,Edinburg,,ND
03NE,small_airport,Hyde Ranch Airport,US,US-NE,Comstock,,NE
03NH,heliport,Lorden Heliport,US,US-NH,Milford,,NH
03NJ,heliport,At&T Heliport,US,US-NJ,Berkeley Heights,,NJ
03NV,small_airport,Llama Ranch Airport,US,US-NV,Ruby Valley,,NV
03NY,small_airport,Talmage Field,US,US-NY,Riverhead,,NY
03OH,small_airport,Gibbs Field,US,US-OH,Fremont,,OH
03OI,heliport,Marymount Hospital Heliport,US,US-OH,Garfield Heights,,OH
03OK,small_airport,Sahoma Lake Airport,US,US-OK,Sapulpa,,OK
03OR,small_airport,Powwatka Ridge Airport,US,US-OR,Troy,,OR
03PA,heliport,Collegeville Heliport,US,US-PA,Collegeville,,PA
03PN,heliport,M.P. Metals Heliport,US,US-PA,Berwick,,PA
03PR,small_airport,Sun View Field Airport,US,US-KS,Bonner Springs,,KS
03PS,closed,Ziggy's Field,US,US-PA,Bellefonte,,PA
03S,small_airport,Sandy River Airport,US,US-OR,Sandy,,OR
03SC,heliport,Seacoast Medical Center Heliport,US,US-SC,Little River,,SC
03TA,closed,Gay Hill Farm Airport,US,US-TX,Gay Hill,,TX
03TE,small_airport,Barronena Ranch Airport,US,US-TX,Hebbronville,,TX
03TN,heliport,Eagles Landing Heliport,US,US-TN,Sevierville,,TN
03TS,heliport,Shannon Medical Center Heliport,US,US-TX,San Angelo,,TX
03TX,heliport,M D K Field,US,US-TX,Pearland,,TX
03UT,small_airport,A Z Minerals Corporation Airport,US,US-UT,Mexican Hat,,UT
03VA,closed,Whipoorwill Springs Airport,US,US-VA,Nokesville,,VA
03WA,small_airport,Spangle Field,US,US-WA,Spangle,,WA
03WI,small_airport,Zink Airport,US,US-WI,Berlin,,WI
03WN,small_airport,Aerostone Ranch Airport,US,US-WA,Goldendale,,WA
03XS,small_airport,Creekside Airport,US,US-TX,Mertzon,,TX
04AA,small_airport,Phil's Airport,US,US-AK,Soldotna,,AK
04AL,heliport,Anniston AHP (Anniston Army Depot),US,US-AL,Anniston,,AL
04AR,heliport,Saline Memorial Hospital Heliport,US,US-AR,Benton,,AR
04AZ,small_airport,Chinle Airport,US,US-AZ,Chinle,,AZ
04CA,small_airport,Gray Butte Field,US,US-CA,Palmdale,,CA
04CL,small_airport,Hunt's Sky Ranch Airport,US,US-CA,Julian,,CA
04CT,heliport,Shingle Mill Heliport,US,US-CT,Harwinton,,CT
04F,closed,De Leon Municipal Airport,US,US-TX,De Leon,,TX
04FA,small_airport,Richards Field,US,US-FL,Homestead,,FL
04FD,heliport,Tampa General Hospital Brandon Healthplex Heliport,US,US-FL,Brandon,,FL
04FL,small_airport,Cross Creek Farms Airport,US,US-FL,Ormond,,FL
04I,small_airport,Columbus Southwest Airport,US,US-OH,Columbus,,OH
04IA,small_airport,Middlekoop Airport,US,US-IA,Packwood,,IA
04ID,small_airport,Lanham Field,US,US-ID,Emmett,,ID
04II,small_airport,Turkey Run Airport,US,US-IN,New Haven,,IN
04IL,small_airport,Schertz Aerial Service - Hudson Airport,US,US-IL,Hudson,,IL
04IN,seaplane_base,Lake Gage Seaplane Base,US,US-IN,Angola,,IN
04IS,small_airport,Van Gorder Airport,US,US-IL,Mansfield,,IL
04KS,heliport,Robinson Industries Heliport,US,US-KS,Lawrence,,KS
04KY,small_airport,Natchez Trace Farm Airport,US,US-KY,Hiseville,,KY
04LA,heliport,St James Heliport,US,US-LA,Lutcher,,LA
04LL,small_airport,Brunner Airport,US,US-IL,West Dundee,,IL
04LS,heliport,La National Guard Heliport,US,US-LA,Baton Rouge,,LA
04MA,closed,Goddard Field (Airport),US,US-MA,Haverhill,,MA
04MD,heliport,Chesapeake City Heliport,US,US-MD,Chesapeake City,,MD
04ME,small_airport,Beech Hill Airport,US,US-ME,Mercer,,ME
04MI,small_airport,Rapids Airway Airport,US,US-MI,Eaton Rapids,,MI
04MN,small_airport,Helblad Airport,US,US-MN,Kelliher,,MN
04MO,small_airport,Airpark Private Airport,US,US-MO,Vandalia,,MO
04MS,small_airport,Nick's Flying Service Inc Airport,US,US-MS,Rolling Fork,,MS
04MT,small_airport,Pluhar Airport,US,US-MT,Cohagen,,MT
04NC,heliport,Western Wake Medical Center Heliport,US,US-NC,Cary,,NC
04NE,small_airport,Mc Connell Field Airport,US,US-NE,Sarben,,NE
04NJ,small_airport,Emmanuel Airport,US,US-NJ,Elmer,,NJ
04NV,small_airport,Kingston Ranch Airport,US,US-NV,Sandy Valley,,NV
04NY,small_airport,Klaverack Airport,US,US-NY,Hudson,,NY
04OG,heliport,Teufel Heliport,US,US-OR,Forest Grove,,OR
04OH,closed,Bossow Airport,US,US-OH,Garrettsville,,OH
04OK,heliport,Stillwater Medical Center Heliport,US,US-OK,Stillwater,,OK
04OR,small_airport,Collins Landing Strip,US,US-OR,Mitchell,,OR
04PA,heliport,S & C Distribution Center Heliport,US,US-PA,Philadelphia,,PA
04PN,heliport,Strawbridge & Clothier Exton Heliport,US,US-PA,Exton,,PA
04SC,heliport,Emergency Helipad,US,US-SC,Easley,,SC
04SD,heliport,Cheyenne River Health Center Heliport,US,US-SD,Eagle Butte,,SD
04TA,heliport,Capitol National Bank Building Heliport,US,US-TX,Austin,,TX
04TE,heliport,Veterans Affairs Medical Center Heliport,US,US-TX,Houston,,TX
04TN,small_airport,Hensley Airpark,US,US-TN,Chuckey,,TN
04TS,heliport,Hummingbird Heliport,US,US-TX,Hutto,,TX
04TX,small_airport,Pocock Airport,US,US-TX,China Spring,,TX
04UT,small_airport,Navajo Mountain Airport,US,US-UT,Navajo Mountain Trdng Post,,UT
04V,small_airport,Saguache Municipal Airport,US,US-CO,Saguache,,CO
04VA,heliport,Russell County Medical Center Heliport,US,US-VA,Lebanon,,VA
04VG,small_airport,Manquin Flight Park Ultralightport,US,US-VA,Manquin,,VA
04VT,small_airport,Lightning Bolt Field Airport,US,US-VT,Cabot,,VT
04W,small_airport,Field of Dreams Airport,US,US-MN,Hinckley,,MN
04WA,small_airport,Ox Meadows Airport,US,US-WA,Spokane,,WA
04WI,small_airport,Dutch Gap Airstrip,US,US-WI,Bristol,,WI
04WN,small_airport,Stillwater Creek Airport,US,US-WA,Royal City,,WA
04WV,heliport,West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport,US,US-WV,Morgantown,,WV
04XS,heliport,Napiers Heliport,US,US-TX,Mansfield,,TX
05AK,small_airport,Wasilla Creek Airpark,US,US-AK,Palmer,,AK
05AL,heliport,Allen Stagefield Army Heliport,US,US-AL,Fort Rucker/Wicksburg,,AL
05AR,small_airport,Ozark Skies Airpark,US,US-AR,Kingston,,AR
05AZ,heliport,Yuma Regional Medical Center Heliport,US,US-AZ,Yuma,,AZ
05B,seaplane_base,Van Buren Seaplane Base,US,US-ME,Van Buren,,ME
05CA,heliport,Lost Hills Sheriff's Station Heliport,US,US-CA,Calabasas,,CA
05CL,small_airport,Pope Valley Airport,US,US-CA,Pope Valley,,CA
05CO,small_airport,Rancho De Aereo Airport,US,US-CO,Mead,,CO
05CT,heliport,O And G Heliport,US,US-CT,Torrington,,CT
05FA,small_airport,Melanie's Airport,US,US-FL,Florala,,FL
05FD,heliport,Aventura Heliport,US,US-FL,North Miami Beach,,FL
05FL,small_airport,Charlton Strip,US,US-FL,La Belle,,FL
05GA,small_airport,Raju Airport,US,US-GA,Richland,,GA
05IA,small_airport,Spotts Field,US,US-IA,Nora Springs,,IA
05ID,small_airport,Running Creek Ranch Airport,US,US-ID,Grangeville,,ID
05II,small_airport,Reichhart Airport,US,US-IN,New Haven,,IN
05IL,small_airport,Classic Landings Airport,US,US-IL,Bonfield,,IL
05IN,small_airport,Cooper Airport,US,US-IN,Belleville,,IN
05IS,small_airport,Hardy Airport,US,US-IL,Mount Auburn,,IL
05KS,small_airport,Darbro Field,US,US-KS,Elk City,,KS
05KY,small_airport,Cartersville Airport,US,US-KY,Berea,,KY
05LA,small_airport,Greg's Flying Service Airport,US,US-LA,Baskin,,LA
05LL,heliport,Midwest Heliport,US,US-IL,Willowbrook,,IL
05LS,small_airport,Grass Roots Airport,US,US-LA,Alexandria,,LA
05M,heliport,Pauls Valley General Hospital Heliport,US,US-OK,Pauls Valley,,OK
05MA,heliport,Bentley Heliport,US,US-MA,Ipswich,,MA
05MD,small_airport,Breezecroft Airport,US,US-MD,Chestertown,,MD
05ME,small_airport,Drisko Airport,US,US-ME,Jonesboro,,ME
05MN,heliport,Northern Pines Medical Center Heliport,US,US-MN,Aurora,,MN
05MO,heliport,Portageville Community Heliport,US,US-MO,Portageville,,MO
05MS,heliport,Va Medical Center Jackson Heliport,US,US-MS,Jackson,,MS
05MT,small_airport,Jones Landing,US,US-MT,Belgrade,,MT
05NC,closed,Brunswick Community Hospital Heliport,US,US-NC,Supply,,NC
05NE,small_airport,Mc Kay Airport,US,US-NE,Spalding,,NE
05NH,heliport,Stumpfield Heliport,US,US-NH,Kensington,,NH
05NJ,heliport,Paulus Hook Pier Heliport,US,US-NJ,Jersey City,,NJ
05NV,small_airport,Baker Ranches Airport,US,US-NV,Baker,,NV
05NY,heliport,Oswego County At Pulaski Heliport,US,US-NY,Pulaski,,NY
05OI,small_airport,Dorlon Airpark,US,US-OH,Columbia Station,,OH
05OK,closed,Hawk Haven Airport,US,US-OK,Crescent,,OK
05OR,small_airport,Peacock Ranch Airport,US,US-OR,Enterprise,,OR
05PA,heliport,PECO Mob. Heliport,US,US-PA,Philadelphia,,PA
05PN,heliport,State Police Area Iii Heliport,US,US-PA,Harrisburg,,PA
05PS,small_airport,Mills Brothers Airport,US,US-PA,Burnt Cabins,,PA
05S,small_airport,Vernonia Airfield,US,US-OR,Vernonia,,OR
05TA,small_airport,Brandes Air Field,US,US-TX,Sealy,,TX
05TE,small_airport,Hilde-Griff Field,US,US-TX,Georgetown,,TX
05TN,closed,Thurmond Glenn Field,US,US-TN,Covington,,TN
05TS,small_airport,Dew Drop Airport,US,US-TX,Justin,,TX
05TX,small_airport,Circle 'A' Ranch Airport,US,US-TX,Blum,,TX
05UT,small_airport,Oljato Airport,US,US-UT,Oljato,,UT
05V,small_airport,Blanca Airport,US,US-CO,Blanca,,CO
05VA,small_airport,Providence Airport,US,US-VA,Farmville,,VA
05VT,heliport,Port of Highgate Springs Heliport,US,US-VT,Highgate Springs,,VT
05WA,heliport,Sacred Heart Medical Center Helistop,US,US-WA,Spokane,,WA
05WI,small_airport,Ames Private Airport,US,US-WI,Darien,,WI
05WN,small_airport,Flat Creek Field,US,US-WA,Kettle Falls,,WA
05XS,small_airport,Johnson Memorial Airport,US,US-AR,Wilmot,,AR
05Y,small_airport,Henning Municipal Airport,US,US-MN,Henning,,MN
06AK,small_airport,June Lake Airpark,US,US-AK,Wasilla,,AK
06AL,heliport,Brown Stagefield Army Heliport,US,US-AL,Fort Rucker/New Brockton,,AL
06AR,small_airport,Bondair Airport,US,US-AR,Higden,,AR
06AZ,heliport,Mercy Gilbert Medical Center Heliport,US,US-AZ,Gilbert,,AZ
06B,seaplane_base,Lucky Landing Marina and Seaplane Base,US,US-ME,Bangor,,ME
06CA,heliport,Sce Solar I Heliport,US,US-CA,Yermo,,CA
06CL,heliport,Abc7-Tv Heliport,US,US-CA,Glendale,,CA
06CO,small_airport,Jecan Airport,US,US-CO,Branson,,CO
06FA,small_airport,William P Gwinn Airport,US,US-FL,Jupiter,,FL
