ident,type,name,iso_country,iso_region,municipality,iata_code,state_code
PS90,heliport,Ramada Inn-Gettysburg Heliport,US,US-PA,Gettysburg,,PA
PS91,heliport,Conemaugh Valley Memorial Hospital Heliport,US,US-PA,Johnstown,,PA
PS92,heliport,Va Medical Center Heliport,US,US-PA,Lebanon,,PA
PS95,heliport,Mazzuca Heliport,US,US-PA,Pottsville,,PA
PS98,small_airport,Travis Airport,US,US-PA,Smicksburg,,PA
PS99,small_airport,West Penn Township Airport,US,US-PA,Tamaqua,,PA
PWR,seaplane_base,Port Walter Seaplane Base,US,US-AK,Port Walter,PWR,AK
PYL,seaplane_base,Perry Island Seaplane Base,US,US-AK,Perry Island,PYL,AK
R03,small_airport,Alkali Lake State Airport,US,US-OR,Alkali Lake,,OR
R33,small_airport,Wakonda Beach State Airport,US,US-OR,Waldport,,OR
RBLA,small_airport,Sierra Blanca Airport,US,US-TX,Sierra Blanca,,TX
RC0,small_airport,Rock Creek Airport,US,US-MT,Clinton,,MT
RDV,small_airport,Red Devil Airport,US,US-AK,Red Devil,RDV,AK
REH,closed,Rehoboth Airport,US,US-DE,Rehoboth Beach,REH,DE
RI01,heliport,Kent County Memorial Hospital Heliport,US,US-RI,Warwick,,RI
RI02,heliport,Grayrock Ridge Heliport,US,US-RI,Cumberland,,RI
RI05,heliport,Port Edgewood Marine Heliport,US,US-RI,Cranston,,RI
RI06,seaplane_base,Tiverton Seaplane Base,US,US-RI,Tiverton,,RI
RI07,small_airport,Wing-Over Farm Airport,US,US-RI,Tiverton,,RI
RI08,heliport,South County Hospital Heliport,US,US-RI,Wakefield,,RI
RI09,heliport,Portsmouth Ramada Heliport,US,US-RI,Portsmouth,,RI
RI11,small_airport,Riconn Airport,US,US-RI,Greene,,RI
RI12,heliport,Quonset State Air Reserve National Guard Helipad,US,US-RI,North Kingstown,,RI
RI13,heliport,Foxridge Farm Heliport,US,US-RI,West Kingston,,RI
RI14,heliport,H. Chambers Cadillac Heliport,US,US-RI,Providence,,RI
RI15,heliport,One Hospital Trust Heliport,US,US-RI,Providence,,RI
RI16,balloonport,Keskinen Balloonport,US,US-RI,Coventry Center,,RI
RI20,small_airport,Mystery Farm Airport,US,US-RI,Cranston,,RI
RI21,heliport,Goat Island Heliport,US,US-RI,Newport,,RI
RI22,heliport,Capital Center Heliport,US,US-RI,Providence,,RI
RI23,heliport,Westerly Hospital Heliport,US,US-RI,Westerly,,RI
RI24,heliport,Duke Heliport,US,US-RI,Newport,,RI
RI25,heliport,Rhode Island Hospital Heliport,US,US-RI,Providence,,RI
RI26,heliport,Landmark Medical Center Heliport,US,US-RI,Woonsocket,,RI
RI28,seaplane_base,Plouffe Landing Seaplane Base,US,US-RI,Glocester,,RI
RI30,heliport,East Arnolda Farm Heliport,US,US-RI,Charlestown,,RI
RI9,heliport,Downtown Providence Helistop,US,US-RI,Providence,,RI
RMP,small_airport,Rampart Airport,US,US-AK,Rampart,RMP,AK
RSCO,small_airport,Scotts Field,US,US-AR,Fontaine,,AR
RZH,closed,Quartz Hill Airport,US,US-CA,Lancaster,RZH,CA
S00,small_airport,Opheim Airport,US,US-MT,Opheim,,MT
S04,small_airport,Condon US Forest Service Airport,US,US-MT,Condon,,MT
S09,small_airport,Hot Springs Airport,US,US-MT,Hot Springs,,MT
S16,small_airport,Copalis State Airport,US,US-WA,Copalis,,WA
S18,small_airport,Forks Airport,US,US-WA,Forks,,WA
S28,small_airport,International Peace Garden Airport,US,US-ND,Dunseith,,ND
S30,small_airport,Lebanon State Airport,US,US-OR,Lebanon,,OR
S31,small_airport,Lopez Island Airport,US,US-WA,Lopez,LPS,WA
S35,small_airport,Okanogan Legion Airport,US,US-WA,Okanogan,,WA
S37,small_airport,Smoketown Airport,US,US-PA,Smoketown,,PA
S43,small_airport,Harvey Field,US,US-WA,Snohomish,,WA
S44,small_airport,Spanaway Airport,US,US-WA,Spanaway,,WA
S49,small_airport,Miller Memorial Airpark,US,US-OR,Vale,,OR
S51,small_airport,Andy Mc Beth Airport,US,US-CA,Klamath Glen,,CA
S60,seaplane_base,Kenmore Air Harbor Inc Seaplane Base,US,US-WA,Kenmore,KEH,WA
S63,small_airport,Skyharbor Airport,US,US-AL,Selma,,AL
S66,small_airport,Homedale Municipal Airport,US,US-ID,Homedale,,ID
S68,small_airport,Orofino Municipal Airport,US,US-ID,Orofino,,ID
S74,seaplane_base,Lost Isle Seaplane Base,US,US-CA,Stockton,,CA
S76,seaplane_base,Brooks Seaplane Base,US,US-ID,Coeur D'Alene,,ID
S77,small_airport,Magee Airport,US,US-ID,Coeur D Alene,,ID
S79,small_airport,Green Sea Airport,US,US-SC,Green Sea,,SC
S81,small_airport,Indian Creek US Forest Service Airport,US,US-ID,Indian Creek,,ID
S82,small_airport,Kooskia Municipal Airport,US,US-ID,Kooskia,,ID
S86,small_airport,Sky Harbor Airport,US,US-WA,Sultan,,WA
S88,small_airport,Skykomish State Airport,US,US-WA,Skykomish,,WA
S89,small_airport,Craigmont Municipal Airport,US,US-ID,Craigmont,,ID
S90,small_airport,Elk City Airport,US,US-ID,Elk City,,ID
S92,small_airport,Fish Lake /US Forest Service/ Airport,US,US-ID,Fish Lake,,ID
S93,small_airport,Cle Elum Municipal Airport,US,US-WA,Cle Elum,,WA
S96,closed,Lake Pend Oreille Seaplane Base,US,US-ID,Glengary,,ID
SAG,closed,Sagwon Airport,US,US-AK,Sagwon,,AK
SAS,small_airport,Salton Sea Airport,US,US-CA,Salton City,SAS,CA
SBT,closed,Tri-City Airport,US,US-CA,San Bernardino,,CA
SC00,small_airport,Triple Tree Airport,US,US-SC,Woodruff,,SC
SC01,small_airport,Sugar Hill Airport,US,US-SC,Allendale,,SC
SC02,heliport,Beaufort County Memorial Hospital Heliport,US,US-SC,Beaufort,,SC
SC03,small_airport,Mc Neil Airport,US,US-SC,Cameron,,SC
SC04,heliport,Piedmont Medical Center Heliport,US,US-SC,Rock Hill,,SC
SC05,small_airport,Laurel Hill Plantation Airport,US,US-SC,Beaufort,,SC
SC06,small_airport,Pluff Mud Field,US,US-SC,Charleston,,SC
SC07,small_airport,Alan's Airport,US,US-SC,St Matthews,,SC
SC08,closed,Bethel-Lake Wylie Airport,US,US-SC,York,,SC
SC09,heliport,Clarendon Memorial Hospital Heliport,US,US-SC,Manning,,SC
SC10,small_airport,State Line Ultraport/Flightpark Ultralightport,US,US-SC,Chesnee,,SC
SC11,heliport,Fort Jackson Helipad Heliport,US,US-SC,Fort Jackson,,SC
SC12,small_airport,Davis Airport,US,US-SC,Garnett,,SC
SC13,small_airport,Darden Airport,US,US-SC,Gaston,,SC
SC14,small_airport,Shealy Airport,US,US-SC,Gilbert,,SC
SC15,small_airport,Airy Hall Airport,US,US-SC,Green Pond,,SC
SC16,small_airport,Curry Airport,US,US-SC,Hartsville,,SC
SC17,small_airport,Russell Airport,US,US-SC,Holly Hill,,SC
SC18,heliport,Lexington Medical Center Heliport,US,US-SC,West Columbia,,SC
SC19,small_airport,Lamar Airport,US,US-SC,Lamar,,SC
SC20,small_airport,Harman Airport,US,US-SC,Langley,,SC
SC21,small_airport,Myrtle Beach Hardee Airpark,US,US-SC,Loris,,SC
SC22,heliport,Richland Memorial Hospital Heliport,US,US-SC,Columbia,,SC
SC23,small_airport,Eagles Nest-Fairview Airpark,US,US-SC,Pelion,,SC
SC24,small_airport,Eagle Ridge Airport,US,US-SC,Seneca,,SC
SC25,small_airport,Ross Strip,US,US-SC,W Society Hill,,SC
SC26,small_airport,Hawks Nest Farm Airport,US,US-SC,West Union,,SC
SC27,small_airport,Tallon Field,US,US-SC,Lynchburg,,SC
SC28,small_airport,Javika Airport,US,US-SC,Surfside Beach,,SC
SC29,small_airport,Mc Kay Airport,US,US-SC,Timmonsville,,SC
SC30,heliport,Savannah River Site (Department of Energy) Heliport,US,US-SC,Aiken,,SC
SC31,heliport,Springs Memorial Heliport,US,US-SC,Lancaster,,SC
SC32,small_airport,Sky Valley Airpark,US,US-SC,Pelzer,,SC
SC33,small_airport,Cox Airport,US,US-SC,Simpsonville,,SC
SC34,small_airport,Iva Field,US,US-SC,Iva,,SC
SC35,small_airport,Ehrhardt Airport,US,US-SC,Ehrhardt,,SC
SC36,closed,Emery Airport,US,US-SC,Greer,,SC
SC37,small_airport,Crosswinds-Wilson Private Airport,US,US-SC,Cross,,SC
SC38,small_airport,Pocotaligo Airport,US,US-SC,Manning,,SC
SC39,small_airport,Green Pond Airport,US,US-SC,Woodruff,,SC
SC40,small_airport,Pearson's Farm Airport,US,US-SC,Spartanburg,,SC
SC41,small_airport,Palmetto Air Plantation Airport,US,US-SC,Manning,,SC
SC42,small_airport,Hondarosa Airport,US,US-SC,Charleston,,SC
SC43,small_airport,Moore's Field,US,US-SC,Williamston,,SC
SC44,small_airport,El Porvenir Airpark,US,US-SC,Boykin,,SC
SC45,small_airport,Gilbert International Airport,US,US-SC,Gilbert,,SC
SC46,small_airport,House Movers Field,US,US-SC,Batesburg,,SC
SC47,small_airport,Parker Field,US,US-SC,Simpsonville,,SC
SC48,small_airport,Byrd Field,US,US-SC,Turbeville,,SC
SC50,closed,Yonges Island Airport,US,US-SC,Charleston,,SC
SC51,small_airport,Too Goo Doo Farms Airport,US,US-SC,Meggett,,SC
SC52,small_airport,Oakview Airport,US,US-SC,Six Mile,,SC
SC53,heliport,"Usar Center, Clemson Heliport",US,US-SC,Clemson,,SC
SC54,heliport,Milliken & County Heliport,US,US-SC,Spartanburg,,SC
SC55,small_airport,Broxton Bridge Plantation Airport,US,US-SC,Ehrhardt,,SC
SC56,small_airport,Thomason Airfield,US,US-SC,Mountville,,SC
SC57,closed,Creech Aviation Facility Airport,US,US-SC,Wedgefield,,SC
SC58,closed,Hartness Airport,US,US-SC,Greenville,,SC
SC59,heliport,Palmetto Heliport,US,US-SC,Greenville,,SC
SC60,small_airport,Cockfield Aerodrome,US,US-SC,Scranton,,SC
SC61,small_airport,Wild Irish Rose Airport,US,US-SC,Cheraw,,SC
SC62,heliport,Hampton Regional Medical Center Heliport,US,US-SC,Varnville,,SC
SC63,heliport,Summers Station Heliport,US,US-SC,Jenkinsville,,SC
SC64,heliport,The Reg Med Center of Orbg & Calhoun Co Heliport,US,US-SC,Orangeburg,,SC
SC65,small_airport,Raven's Run Airport,US,US-SC,Mount Pleasant,,SC
SC66,heliport,E M M D Plant Heliport,US,US-SC,Union,,SC
SC67,small_airport,Country Squire Airport,US,US-SC,Rock Hill,,SC
SC68,heliport,Fripp Island Emergency Heliport,US,US-SC,Frogmore,,SC
SC69,small_airport,Shiloh Plantation Airport,US,US-SC,Ehrhardt,,SC
SC70,small_airport,Anna's Airport,US,US-SC,Walhalla,,SC
SC71,heliport,Medical University of South Carolina Heliport,US,US-SC,Charleston,,SC
SC72,small_airport,Chandelle Airport,US,US-SC,Greer,,SC
SC73,heliport,Newberry County Memorial Hospital Heliport,US,US-SC,Newberry,,SC
SC74,small_airport,Marsh Point Airport,US,US-SC,Beaufort,,SC
SC75,small_airport,Oolenoy Valley Airport,US,US-SC,Pickens,,SC
SC76,small_airport,Unity Aerodrome,US,US-SC,Lancaster,,SC
SC77,heliport,Providence Hospital Heliport,US,US-SC,Columbia,,SC
SC78,small_airport,King Field,US,US-SC,Cleveland,,SC
SC79,small_airport,Bermuda High Gliderport,US,US-SC,Lancaster,,SC
SC80,small_airport,Anderson Airport,US,US-SC,Pendleton,,SC
SC81,small_airport,Abbeville Airport,US,US-SC,Abbeville,,SC
SC82,small_airport,Oakhill Airpark,US,US-SC,Williamson,,SC
SC83,heliport,Abbeville County Memorial Hospital Heliport,US,US-SC,Abbeville,,SC
SC84,heliport,Milliken & Company Heliport,US,US-SC,Blacksburg,,SC
SC85,heliport,Chester County Hospital Heliport,US,US-SC,Chester,,SC
SC86,small_airport,Williamsport Airpark,US,US-SC,Easley,,SC
SC87,small_airport,Avinger Field,US,US-SC,Vance,,SC
SC88,small_airport,Turner Field,US,US-SC,Chesnee,,SC
SC89,small_airport,Price Airport,US,US-SC,Dillon,,SC
SC90,small_airport,Do-Little Field,US,US-SC,St. Matthews,,SC
